iter	Passed	Remaining
0	162	162221
1	178	88972
2	190	63297
3	202	50381
4	213	42470
5	226	37562
6	237	33725
7	249	30987
8	263	29013
9	275	27263
10	285	25668
11	295	24366
12	306	23292
13	318	22399
14	327	21523
15	338	20800
16	348	20170
17	359	19617
18	370	19145
19	381	18682
20	391	18251
21	402	17888
22	414	17600
23	425	17302
24	436	17042
25	447	16748
26	457	16502
27	467	16244
28	477	16004
29	488	15799
30	499	15628
31	510	15428
32	521	15267
33	532	15120
34	542	14961
35	554	14847
36	566	14744
37	578	14642
38	590	14547
39	602	14452
40	613	14354
41	626	14282
42	637	14187
43	649	14104
44	660	14024
45	671	13932
46	683	13851
47	694	13768
48	705	13688
49	716	13609
50	726	13518
51	736	13431
52	746	13344
53	758	13283
54	768	13204
55	779	13139
56	790	13085
57	801	13020
58	812	12963
59	823	12901
60	833	12836
61	845	12791
62	857	12754
63	869	12712
64	878	12636
65	888	12579
66	900	12533
67	910	12482
68	921	12432
69	930	12363
70	941	12316
71	951	12269
72	963	12233
73	975	12201
74	985	12159
75	997	12127
76	1009	12098
77	1020	12058
78	1031	12022
79	1043	11995
80	1054	11959
81	1065	11926
82	1075	11883
83	1087	11856
84	1099	11838
85	1112	11826
86	1123	11786
87	1134	11752
88	1145	11723
89	1155	11687
90	1167	11662
91	1200	11852
92	1228	11981
93	1242	11978
94	1254	11946
95	1264	11905
96	1274	11866
97	1285	11833
98	1296	11795
99	1306	11756
100	1317	11722
101	1326	11679
102	1337	11646
103	1348	11621
104	1360	11597
105	1371	11567
106	1381	11531
107	1392	11499
108	1402	11462
109	1412	11431
110	1423	11398
111	1433	11367
112	1443	11334
113	1454	11301
114	1463	11265
115	1474	11233
116	1483	11198
117	1493	11162
118	1503	11128
119	1513	11095
120	1523	11069
121	1533	11037
122	1543	11005
123	1553	10973
124	1564	10954
125	1575	10927
126	1587	10910
127	1599	10894
128	1609	10867
129	1619	10840
130	1630	10817
131	1641	10792
132	1651	10765
133	1663	10747
134	1674	10727
135	1687	10723
136	1699	10707
137	1710	10681
138	1720	10656
139	1730	10630
140	1742	10615
141	1751	10585
142	1762	10565
143	1774	10546
144	1785	10527
145	1796	10510
146	1808	10493
147	1818	10471
148	1829	10450
149	1840	10430
150	1850	10406
151	1860	10378
152	1870	10352
153	1880	10331
154	1892	10316
155	1903	10296
156	1913	10273
157	1923	10251
158	1933	10227
159	1942	10200
160	1953	10177
161	1963	10158
162	1975	10142
163	1986	10126
164	1997	10110
165	2009	10095
166	2020	10079
167	2030	10055
168	2040	10034
169	2051	10015
170	2063	10001
171	2073	9982
172	2084	9965
173	2097	9956
174	2107	9936
175	2117	9913
176	2127	9894
177	2138	9875
178	2148	9853
179	2159	9839
180	2172	9828
181	2184	9819
182	2196	9805
183	2207	9790
184	2216	9765
185	2226	9743
186	2236	9723
187	2247	9706
188	2256	9683
189	2267	9666
190	2278	9648
191	2288	9631
192	2297	9606
193	2307	9587
194	2318	9569
195	2328	9553
196	2338	9532
197	2349	9516
198	2359	9498
199	2371	9484
200	2380	9461
201	2389	9441
202	2399	9418
203	2408	9398
204	2417	9376
205	2427	9355
206	2437	9339
207	2447	9319
208	2457	9299
209	2466	9278
210	2475	9257
211	2485	9238
212	2495	9221
213	2504	9199
214	2516	9188
215	2526	9169
216	2536	9151
217	2544	9128
218	2554	9111
219	2563	9089
220	2572	9069
221	2582	9051
222	2592	9033
223	2601	9011
224	2611	8993
225	2619	8972
226	2629	8955
227	2638	8934
228	2648	8915
229	2657	8897
230	2667	8879
231	2676	8861
232	2686	8843
233	2696	8827
234	2705	8807
235	2715	8790
236	2724	8771
237	2735	8758
238	2744	8739
239	2754	8723
240	2763	8704
241	2774	8690
242	2783	8671
243	2793	8654
244	2802	8637
245	2813	8624
246	2824	8610
247	2835	8598
248	2846	8585
249	2857	8573
250	2869	8561
251	2879	8548
252	2890	8534
253	2900	8518
254	2912	8509
255	2924	8499
256	2935	8485
257	2945	8470
258	2954	8453
259	2963	8434
260	2973	8419
261	2983	8402
262	2993	8387
263	3002	8370
264	3012	8354
265	3022	8339
266	3032	8324
267	3042	8308
268	3051	8292
269	3061	8278
270	3071	8262
271	3081	8248
272	3091	8231
273	3101	8218
274	3111	8203
275	3121	8188
276	3131	8172
277	3141	8157
278	3151	8143
279	3161	8129
280	3172	8116
281	3181	8100
282	3191	8086
283	3201	8070
284	3211	8056
285	3221	8041
286	3231	8029
287	3241	8013
288	3251	7998
289	3261	7984
290	3271	7970
291	3281	7955
292	3290	7940
293	3300	7925
294	3310	7912
295	3320	7897
296	3330	7884
297	3340	7869
298	3349	7851
299	3358	7837
300	3369	7824
301	3379	7810
302	3389	7797
303	3399	7783
304	3409	7769
305	3418	7753
306	3428	7739
307	3438	7724
308	3448	7711
309	3458	7697
310	3468	7684
311	3478	7671
312	3488	7656
313	3498	7643
314	3508	7628
315	3518	7615
316	3527	7600
317	3538	7587
318	3547	7573
319	3557	7559
320	3567	7546
321	3576	7531
322	3587	7518
323	3597	7505
324	3606	7491
325	3616	7477
326	3626	7462
327	3636	7450
328	3646	7437
329	3656	7424
330	3666	7411
331	3677	7398
332	3687	7385
333	3697	7372
334	3707	7359
335	3717	7346
336	3727	7333
337	3737	7320
338	3751	7314
339	3761	7301
340	3771	7287
341	3780	7272
342	3791	7262
343	3803	7252
344	3813	7240
345	3824	7229
346	3836	7218
347	3847	7208
348	3857	7195
349	3867	7183
350	3877	7169
351	3887	7156
352	3897	7143
353	3908	7131
354	3918	7118
355	3927	7105
356	3937	7091
357	3947	7078
358	3957	7066
359	3968	7054
360	3978	7043
361	3989	7031
362	4000	7020
363	4011	7008
364	4020	6995
365	4032	6985
366	4043	6974
367	4055	6964
368	4066	6953
369	4077	6942
370	4088	6931
371	4099	6920
372	4109	6907
373	4119	6894
374	4128	6881
375	4139	6869
376	4148	6855
377	4160	6846
378	4170	6832
379	4178	6817
380	4187	6802
381	4196	6789
382	4207	6777
383	4217	6765
384	4226	6751
385	4236	6739
386	4247	6727
387	4257	6715
388	4266	6701
389	4277	6689
390	4286	6676
391	4296	6664
392	4306	6652
393	4315	6637
394	4325	6625
395	4334	6611
396	4342	6595
397	4352	6583
398	4361	6569
399	4371	6556
400	4380	6544
401	4391	6532
402	4401	6520
403	4411	6508
404	4421	6495
405	4431	6482
406	4441	6470
407	4450	6457
408	4460	6445
409	4470	6433
410	4480	6420
411	4489	6408
412	4499	6395
413	4509	6383
414	4519	6370
415	4529	6358
416	4540	6347
417	4550	6335
418	4559	6322
419	4570	6312
420	4582	6301
421	4592	6290
422	4602	6278
423	4612	6265
424	4621	6253
425	4631	6240
426	4641	6228
427	4651	6216
428	4661	6203
429	4671	6191
430	4680	6179
431	4690	6166
432	4700	6154
433	4709	6142
434	4719	6130
435	4729	6118
436	4738	6105
437	4749	6093
438	4759	6081
439	4769	6070
440	4779	6058
441	4789	6047
442	4799	6034
443	4809	6023
444	4819	6011
445	4829	5999
446	4839	5987
447	4849	5974
448	4859	5963
449	4869	5951
450	4880	5940
451	4891	5930
452	4903	5921
453	4915	5911
454	4927	5902
455	4937	5890
456	4947	5878
457	4956	5865
458	4966	5854
459	4977	5843
460	4988	5832
461	4997	5819
462	5007	5807
463	5018	5797
464	5028	5785
465	5038	5773
466	5048	5761
467	5058	5750
468	5069	5739
469	5078	5727
470	5089	5716
471	5099	5704
472	5109	5692
473	5119	5680
474	5129	5669
475	5139	5657
476	5149	5646
477	5160	5635
478	5171	5624
479	5180	5612
480	5190	5600
481	5200	5589
482	5211	5578
483	5220	5566
484	5230	5553
485	5240	5542
486	5250	5530
487	5259	5518
488	5269	5506
489	5279	5495
490	5289	5483
491	5298	5471
492	5308	5459
493	5317	5446
494	5327	5435
495	5336	5422
496	5346	5411
497	5357	5400
498	5366	5388
499	5377	5377
500	5388	5366
501	5400	5357
502	5410	5345
503	5420	5334
504	5429	5322
505	5440	5311
506	5450	5300
507	5459	5287
508	5469	5275
509	5478	5264
510	5488	5252
511	5497	5240
512	5507	5228
513	5517	5216
514	5526	5204
515	5535	5192
516	5546	5181
517	5557	5170
518	5568	5160
519	5578	5149
520	5589	5139
521	5599	5127
522	5609	5115
523	5619	5105
524	5629	5093
525	5641	5083
526	5651	5072
527	5660	5060
528	5671	5049
529	5681	5038
530	5691	5027
531	5701	5015
532	5712	5005
533	5722	4993
534	5732	4982
535	5741	4970
